Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0	1	0	0	1	0	-79.847
0	1	0	0	2	0	-74.779
0	1	0	0	3	0	-67.1937
0	1	0	0	4	0	-68.529
0	1	0	0	5	0	-69.6832
0	1	0	0	6	0	-72.2902
0	1	0	0	7	0	-71.081
0	1	0	0	8	0	-58.1084
0	1	0	0	9	0	-68.7153
0	1	0	0	10	0	-84.6652
0	1	0	0	11	0	-66.4098
0	1	0	0	12	0	-61.7831
0	1	0	0	13	0	-82.7643
0	1	0	0	14	0	-65.0627
0	1	0	0	15	0	-57.1548
0	1	0	0	16	0	-71.503
0	1	0	0	17	0	-61.0853
0	1	0	0	18	0	-73.7236
0	1	0	0	19	0	-72.9902
0	1	0	0	20	0	-66.5273
0.005	1	0	0	1	0	-79.4232
0.005	1	0	0	2	0	-89.0202
0.005	1	0	0	3	0	-68.4429
0.005	1	0	0	4	0	-62.4301
0.005	1	0	0	5	0	-65.7281
0.005	1	0	0	6	0	-71.9303
0.005	1	0	0	7	0	-70.7764
0.005	1	0	0	8	0	-54.4914
0.005	1	0	0	9	0	-72.8155
0.005	1	0	0	10	0	-72.9509
0.005	1	0	0	11	0	-75.2934
0.005	1	0	0	12	0	-57.7994
0.005	1	0	0	13	0	-89.2001
0.005	1	0	0	14	0	-63.0225
0.005	1	0	0	15	0	-55.3897
0.005	1	0	0	16	0	-77.7872
0.005	1	0	0	17	0	-73.1548
0.005	1	0	0	18	0	-73.4659
0.005	1	0	0	19	0	-64.7831
0.005	1	0	0	20	0	-57.727
0.01	1	0	0	1	0	-79.4232
0.01	1	0	0	2	0	-89.0202
0.01	1	0	0	3	0	-68.4429
0.01	1	0	0	4	0	-62.4301
0.01	1	0	0	5	0	-65.7281
0.01	1	0	0	6	0	-71.9303
0.01	1	0	0	7	0	-70.7764
0.01	1	0	0	8	0	-54.4914
0.01	1	0	0	9	0	-72.8155
0.01	1	0	0	10	0	-72.9509
0.01	1	0	0	11	0	-75.2934
0.01	1	0	0	12	0	-57.7994
0.01	1	0	0	13	0	-89.2001
0.01	1	0	0	14	0	-63.0225
0.01	1	0	0	15	0	-55.3897
0.01	1	0	0	16	0	-77.7872
0.01	1	0	0	17	0	-73.1548
0.01	1	0	0	18	0	-73.4659
0.01	1	0	0	19	0	-64.7831
0.01	1	0	0	20	0	-57.727
0.015	1	0	0	1	0	-79.4232
0.015	1	0	0	2	0	-89.0202
0.015	1	0	0	3	0	-68.4429
0.015	1	0	0	4	0	-62.4301
0.015	1	0	0	5	0	-65.7281
0.015	1	0	0	6	0	-71.9303
0.015	1	0	0	7	0	-70.7764
0.015	1	0	0	8	0	-54.4914
0.015	1	0	0	9	0	-72.8155
0.015	1	0	0	10	0	-72.9509
0.015	1	0	0	11	0	-75.2934
0.015	1	0	0	12	0	-57.7994
0.015	1	0	0	13	0	-89.2001
0.015	1	0	0	14	0	-63.0225
0.015	1	0	0	15	0	-55.3897
0.015	1	0	0	16	0	-77.7872
0.015	1	0	0	17	0	-73.1548
0.015	1	0	0	18	0	-73.4659
0.015	1	0	0	19	0	-64.7831
0.015	1	0	0	20	0	-57.727
0.018	1	0	0	1	0	-79.4232
0.018	1	0	0	2	0	-89.0202
0.018	1	0	0	3	0	-68.4429
0.018	1	0	0	4	0	-62.4301
0.018	1	0	0	5	0	-65.7281
0.018	1	0	0	6	0	-71.9303
