% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.1015	1	0	10	15	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	29	40	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	28	39	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	27	38	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	26	37	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	25	36	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	24	35	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	23	34	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	22	33	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	21	32	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	20	31	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	19	30	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	12	13	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	13	12	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	30	11	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	31	10	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	32	9	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	33	8	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	34	7	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	35	6	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	36	5	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	37	4	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	38	3	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	39	2	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	40	1	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	11	14	10	3	1	1	12	0	19	1	0	12	52
0.1015	1	0	9	16	10	3	1	1	12	0	19	1	0	12	24
0.102	1	0	18	29	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	17	28	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	16	27	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	15	26	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	14	25	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	1	24	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	2	23	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	3	22	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	4	21	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	5	20	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	6	19	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	7	18	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	8	17	10	4	0	1	12	0	19	1	0	12	52
0.102	1	0	9	16	10	4	0	1	12	0	18	1	0	12	52
0.1045	1	0	9	16	10	6	1	1	12	0	19	1	0	12	52
0.1615	1	0	10	15	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	29	40	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	28	39	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	27	38	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	26	37	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	25	36	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	24	35	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	23	34	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	22	33	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	21	32	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	20	31	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	19	30	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	12	13	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	13	12	16	3	1	1	12	0	19	1	0	12	52
0.1615	1	0	30	11	16	3	1	1	12	0	19	1	0	12	52
