time(s)	cellId	rnti	lcid	packetSize
0.102536	2	16	3	16
0.102536	2	15	3	34
0.102536	2	14	3	34
0.102536	2	13	3	34
0.102536	2	12	3	34
0.102536	2	30	3	34
0.102536	2	31	3	34
0.102536	2	32	3	34
0.102536	2	33	3	34
0.102536	2	34	3	34
0.102536	2	35	3	34
0.102536	2	36	3	34
0.102536	2	37	3	34
0.102536	2	38	3	34
0.102536	2	39	3	34
0.102536	2	40	3	34
0.102536	2	11	3	34
0.102536	2	10	3	34
0.102536	2	9	3	34
0.102536	2	8	3	34
0.102536	2	7	3	34
0.102536	2	6	3	34
0.102536	2	5	3	34
0.102536	2	4	3	34
0.102536	2	3	3	34
0.102536	2	2	3	34
0.102536	2	1	3	34
0.103036	2	24	3	34
0.103036	2	23	3	34
0.103036	2	22	3	34
0.103036	2	21	3	34
0.103036	2	20	3	34
0.103036	2	19	3	34
0.103036	2	18	3	34
0.103036	2	17	3	34
0.103036	2	16	3	20
0.103036	2	25	3	34
0.103036	2	26	3	34
0.103036	2	27	3	34
0.103036	2	28	3	34
0.103036	2	29	3	34
0.162536	2	16	3	16
0.162536	2	15	3	34
0.162536	2	14	3	34
0.162536	2	13	3	34
0.162536	2	12	3	34
0.162536	2	30	3	34
0.162536	2	31	3	34
0.162536	2	32	3	34
0.162536	2	33	3	34
0.162536	2	34	3	34
0.162536	2	35	3	34
0.162536	2	36	3	34
0.162536	2	37	3	34
0.162536	2	38	3	34
0.162536	2	39	3	34
0.162536	2	40	3	34
0.162536	2	11	3	34
0.162536	2	10	3	34
0.162536	2	9	3	34
0.162536	2	8	3	34
0.162536	2	7	3	34
0.162536	2	6	3	34
0.162536	2	5	3	34
0.162536	2	4	3	34
0.162536	2	3	3	34
0.162536	2	2	3	34
0.162536	2	1	3	34
0.163036	2	24	3	34
0.163036	2	23	3	34
0.163036	2	22	3	34
0.163036	2	21	3	34
0.163036	2	20	3	34
0.163036	2	19	3	34
0.163036	2	18	3	34
0.163036	2	17	3	34
0.163036	2	16	3	20
0.163036	2	25	3	34
0.163036	2	26	3	34
0.163036	2	27	3	34
0.163036	2	28	3	34
0.163036	2	29	3	34
